,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
156,tensor(1.0149),tensor(1.0096),tensor(0.0024),tensor(0.0194),Equi,0.0013138568,0.017323794
157,tensor(1.0217),tensor(1.0130),tensor(0.0032),tensor(0.0254),Equi,0.0021191947,0.024353297
158,tensor(1.0283),tensor(1.0159),tensor(0.0039),tensor(0.0319),Equi,0.003110485,0.030882794
159,tensor(1.0346),tensor(1.0185),tensor(0.0047),tensor(0.0443),Equi,0.004332723,0.037209824
160,tensor(1.0407),tensor(1.0209),tensor(0.0061),tensor(0.0591),Equi,0.0058109025,0.043621533
161,tensor(1.0470),tensor(1.0234),tensor(0.0078),tensor(0.0752),Equi,0.0077308444,0.050770074
162,tensor(1.0534),tensor(1.0263),tensor(0.0096),tensor(0.0911),Equi,0.010268247,0.059409406
163,tensor(1.0604),tensor(1.0293),tensor(0.0123),tensor(0.1119),Equi,0.013597068,0.06930043
164,tensor(1.0681),tensor(1.0330),tensor(0.0155),tensor(0.1361),Equi,0.0182646,0.08215093
165,tensor(1.0753),tensor(1.0364),tensor(0.0189),tensor(0.1654),Equi,0.023535814,0.09525606
166,tensor(1.0825),tensor(1.0401),tensor(0.0234),tensor(0.1983),Equi,0.030031081,0.11061393
167,tensor(1.0896),tensor(1.0440),tensor(0.0290),tensor(0.2348),Equi,0.03771007,0.12788765
168,tensor(1.0965),tensor(1.0480),tensor(0.0355),tensor(0.2774),Equi,0.04677691,0.14736986
169,tensor(1.1041),tensor(1.0528),tensor(0.0441),tensor(0.3266),Equi,0.05856605,0.17184234
170,tensor(1.1112),tensor(1.0577),tensor(0.0542),tensor(0.3823),Equi,0.07206263,0.19892685
171,tensor(1.1182),tensor(1.0623),tensor(0.0670),tensor(0.4462),Equi,0.086855695,0.22722648
172,tensor(1.1235),tensor(1.0663),tensor(0.0824),tensor(0.5160),Equi,0.100120425,0.2523076
173,tensor(1.1267),tensor(1.0688),tensor(0.1020),tensor(0.5998),Equi,0.10901378,0.26890466
174,tensor(1.),tensor(1.0008),tensor(0.0025),tensor(0.0051),HolX,7.585904e-05,0.0011761134
175,tensor(1.),tensor(1.0054),tensor(0.0025),tensor(0.0241),HolX,0.0005471229,0.008562627
176,tensor(1.),tensor(1.0093),tensor(0.0025),tensor(0.0385),HolX,0.00095975184,0.015064138
177,tensor(1.),tensor(1.0126),tensor(0.0026),tensor(0.0513),HolX,0.0013287573,0.020834934
178,tensor(1.),tensor(1.0156),tensor(0.0029),tensor(0.0659),HolX,0.0016683273,0.026069483
179,tensor(1.),tensor(1.0183),tensor(0.0031),tensor(0.0850),HolX,0.0019939553,0.030998442
180,tensor(1.),tensor(1.0301),tensor(0.0042),tensor(0.1829),HolX,0.0036288465,0.054111004
181,tensor(1.),tensor(1.0333),tensor(0.0048),tensor(0.2156),HolX,0.00414131,0.060789995
182,tensor(1.),tensor(1.0368),tensor(0.0057),tensor(0.2516),HolX,0.004751662,0.06842575
183,tensor(1.),tensor(1.0406),tensor(0.0068),tensor(0.2871),HolX,0.0054692226,0.077000156
184,tensor(1.),tensor(1.0447),tensor(0.0081),tensor(0.3271),HolX,0.006320072,0.08666851
185,tensor(1.),tensor(1.0493),tensor(0.0096),tensor(0.3716),HolX,0.0073454855,0.097702384
186,tensor(1.),tensor(1.0538),tensor(0.0115),tensor(0.4189),HolX,0.008463891,0.1090863
187,tensor(1.),tensor(1.0590),tensor(0.0136),tensor(0.4665),HolX,0.009922372,0.12308757
188,tensor(1.),tensor(1.0642),tensor(0.0158),tensor(0.5166),HolX,0.011511024,0.13745171
189,tensor(1.),tensor(1.0683),tensor(0.0188),tensor(0.5711),HolX,0.012898844,0.14937945
190,tensor(1.),tensor(1.0707),tensor(0.0220),tensor(0.6226),HolX,0.013747895,0.15643342
191,tensor(1.),tensor(1.0709),tensor(0.0231),tensor(0.6298),HolX,0.013854689,0.1573085
192,tensor(1.0019),tensor(1.),tensor(9.9364e-05),tensor(4.9813e-05),HolY,1.2495225e-05,0.00019057846
193,tensor(1.0132),tensor(1.),tensor(0.0028),tensor(0.0004),HolY,0.00012995154,0.0014011229
194,tensor(1.0232),tensor(1.),tensor(0.0050),tensor(0.0005),HolY,0.0003684043,0.0026246516
195,tensor(1.0319),tensor(1.),tensor(0.0069),tensor(0.0008),HolY,0.0007575462,0.0039172843
196,tensor(1.0398),tensor(1.),tensor(0.0085),tensor(0.0013),HolY,0.0013010297,0.005311611
197,tensor(1.0472),tensor(1.),tensor(0.0100),tensor(0.0019),HolY,0.002005616,0.006846235
