,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_polinomial3_0
56,1.0469474,36.24774,3.006414505552091,3.006221267970278,"([1.0469474, 0, 0], [0, 0.9773217605234551, 0], [0, 0, 0.9773217605234551])",Tensile,3.9595356
57,1.0529534,42.056050000000006,3.008130153111863,3.007855210319157,"([1.0529534, 0, 0], [0, 0.9745304742644796, 0], [0, 0, 0.9745304742644796])",Tensile,4.4669724
58,1.0589594,47.86117,3.010041544417069,3.009665232190275,"([1.0589594, 0, 0], [0, 0.9717629684158346, 0], [0, 0, 0.9717629684158346])",Tensile,4.9784985
59,1.0652657,53.88231,3.0122568870114215,3.0117509283368893,"([1.0652657, 0, 0], [0, 0.9688823136519036, 0], [0, 0, 0.9688823136519036])",Tensile,5.5211544
60,1.0712717,59.611650000000004,3.014563066797785,3.013909651706684,"([1.0712717, 0, 0], [0, 0.9661625152056187, 0], [0, 0, 0.9661625152056187])",Tensile,6.0443344
61,1.077578,65.61552,3.017188481487655,3.0163531177045444,"([1.077578, 0, 0], [0, 0.9633312346757099, 0], [0, 0, 0.9633312346757099])",Tensile,6.6014633
62,1.083584,71.37601,3.019881058430284,3.0188448304876614,"([1.083584, 0, 0], [0, 0.960657788542383, 0], [0, 0, 0.960657788542383])",Tensile,7.140476
63,1.08959,76.98154,3.022759190721353,3.0214935411583044,"([1.08959, 0, 0], [0, 0.9580064776976597, 0], [0, 0, 0.9580064776976597])",Tensile,7.688654
64,1.0958963,82.81965,3.0259788933126406,3.024439901099087,"([1.0958963, 0, 0], [0, 0.9552460921037444, 0], [0, 0, 0.9552460921037444])",Tensile,8.275089
65,1.1019023,88.47169,3.0292316276528295,3.0273998265947437,"([1.1019023, 0, 0], [0, 0.9526392152613548, 0], [0, 0, 0.9526392152613548])",Tensile,8.844873
66,1.1079083,94.19156,3.0326643546076686,3.030506567300894,"([1.1079083, 0, 0], [0, 0.9500535651737692, 0], [0, 0, 0.9500535651737692])",Tensile,9.426525
67,1.1142146,100.09992999999999,3.036460526674434,3.0339232008061616,"([1.1142146, 0, 0], [0, 0.9473611644513601, 0], [0, 0, 0.9473611644513601])",Tensile,10.050972
68,1.1202206,105.85222999999999,3.040256825702888,3.0373211328625667,"([1.1202206, 0, 0], [0, 0.9448181393894087, 0], [0, 0, 0.9448181393894087])",Tensile,10.659584
