,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
177,tensor(1.),tensor(1.0126),tensor(0.0026),tensor(0.0513),HolX,0.0016916109,0.0790818
178,tensor(1.),tensor(1.0156),tensor(0.0029),tensor(0.0659),HolX,0.002164277,0.098949835
179,tensor(1.),tensor(1.0183),tensor(0.0031),tensor(0.0850),HolX,0.0026373973,0.117657065
180,tensor(1.),tensor(1.0301),tensor(0.0042),tensor(0.1829),HolX,0.0053006113,0.20535675
181,tensor(1.),tensor(1.0333),tensor(0.0048),tensor(0.2156),HolX,0.0062219473,0.23068894
182,tensor(1.),tensor(1.0368),tensor(0.0057),tensor(0.2516),HolX,0.007363081,0.25964242
183,tensor(1.),tensor(1.0406),tensor(0.0068),tensor(0.2871),HolX,0.00875699,0.2921424
184,tensor(1.),tensor(1.0447),tensor(0.0081),tensor(0.3271),HolX,0.010470746,0.3287701
185,tensor(1.),tensor(1.0493),tensor(0.0096),tensor(0.3716),HolX,0.012607847,0.37054384
186,tensor(1.),tensor(1.0538),tensor(0.0115),tensor(0.4189),HolX,0.015009333,0.41360816
187,tensor(1.),tensor(1.0590),tensor(0.0136),tensor(0.4665),HolX,0.018226536,0.4665186
188,tensor(1.),tensor(1.0642),tensor(0.0158),tensor(0.5166),HolX,0.021814141,0.5207308
189,tensor(1.),tensor(1.0683),tensor(0.0188),tensor(0.5711),HolX,0.025002038,0.565689
190,tensor(1.),tensor(1.0707),tensor(0.0220),tensor(0.6226),HolX,0.026972067,0.5922502
191,tensor(1.),tensor(1.0709),tensor(0.0231),tensor(0.6298),HolX,0.027220793,0.5955437
