reg,xi1,xi2,xi3,r1,r2,r3
0,0.006174504,0.002088478,-0.001759601,0.003721919,0.005919346,-6.52E-06
0,0.005974597,0.004938868,-0.00254596,0.003721187,0.005936237,-1.02E-05
0,0.006424974,0.004646153,-0.003115676,0.00372287,0.005934499,-1.08E-05
0,0.006639512,0.001204922,-0.004342676,0.00372369,0.005914106,-1.35E-05
0,0.007314025,0.004503031,-0.002778897,0.003726183,0.005933643,-1.41E-05
0,0.010507601,0.007267538,0.000814439,0.003738072,0.005950086,-7.68E-08
0,0.006607158,0.0050516,-0.003625145,0.003723575,0.005936874,-2.22E-05
0,0.004400728,0.003726138,0.001446,0.00371532,0.005929049,5.46E-06
0,0.006375112,0.002051651,0.003290556,0.003722695,0.005919111,1.56E-05
0,0.007342503,0.003373968,0.000486473,0.003726259,0.005926955,1.04E-05
0,0.006031133,0.003509266,-0.002272123,0.003721387,0.005927764,-5.00E-06
0,0.007421563,0.002470847,-0.000456699,0.003726555,0.005921612,-3.47E-06
0,0.009020285,0.003997265,-0.000411407,0.003732516,0.005930659,2.52E-06
0,0.002727875,0.005165634,-0.006557934,0.003709248,0.005937524,-2.85E-05
0,0.007454153,0.007128681,-0.001567304,0.003726675,0.00594926,5.49E-07
0,0.00522266,0.004754051,0.001810757,0.003718382,0.005935141,9.63E-06
0,0.005265177,0.001421158,0.002517349,0.003718532,0.0059154,2.10E-06
0,0.006154182,0.002368442,-0.001610925,0.003721839,0.005921006,-3.33E-06
0,0.007136505,0.00276482,-0.001561742,0.003725495,0.005923354,-1.45E-06
0,0.007236443,0.002610506,0.000196013,0.003725861,0.005922436,-6.96E-06
0,0.00700409,0.003172534,-0.004075961,0.003725051,0.005925748,-1.61E-05
0,0.008166205,0.003575536,-0.005934786,0.003729402,0.005928143,-1.36E-05
0,0.006012082,0.007733982,-0.000303802,0.003721289,0.005952843,1.50E-05
0,0.005377734,0.004066315,0.001037355,0.003718951,0.005931061,9.25E-06
0,0.005577434,-0.000593757,0.002212744,0.003719686,0.005903494,-1.08E-06
0,0.00620305,0.002835788,-0.000633323,0.003722018,0.005923773,-4.81E-06
0,0.006893189,0.003065259,-0.000675101,0.003724586,0.005925134,-3.54E-07
0,0.006487376,9.36E-05,-0.000930779,0.003723078,0.00590755,-5.71E-06
0,0.006540766,0.002910393,-0.003284916,0.003723314,0.005924192,-1.72E-05
0,0.011301698,0.005278793,-0.003857458,0.003741095,0.005938236,-1.84E-05
0,0.002260765,0.006606598,0.001090045,0.003707372,0.005946117,2.10E-05
0,0.004865411,0.003248282,0.000960135,0.003717044,0.005926217,4.32E-06
0,0.007306769,-0.00093247,0.004418134,0.003726152,0.005901491,6.10E-06
0,0.007489384,0.002571302,0.000883438,0.003726811,0.005922205,5.92E-06
0,0.005298977,0.002819634,-0.001487384,0.003718655,0.005923679,-1.70E-06
0,0.005171605,-0.000180023,0.000169879,0.003718179,0.005905937,2.66E-07
0,0.007631813,0.001447143,0.001301883,0.003727337,0.005915554,-8.21E-07
