Xlam,PX,Ylam,PY,file,lambda_x,lambda_y,cycle_number,stress_x_mpa,stress_y_mpa
1.066,0.0508061312094602,1.0,-0.0023991844218486,csv_122.csv,1.064290475288892,0.9765731159184504,1,0.04772364364847345,-0.0023669562749392
1.06896,0.0531088126478327,1.0,-0.0021886117461681,csv_123.csv,1.0676217867174218,0.975439604974873,1,0.04965142393761095,-0.0023760376491899
1.072,0.0549457513556616,1.0,-0.0030342706516431,csv_124.csv,1.0709695999809163,0.9744044565778284,1,0.0523265549370052,-0.0027000906732005
1.07496,0.0569545328783199,1.0,-0.0017718694184733,csv_125.csv,1.0742111630350524,0.9731085377095956,1,0.054206190624269304,-0.0020176628349991
1.078,0.0594704866796432,1.0,-0.002549632650678,csv_126.csv,1.0774868545602154,0.9720230277951216,1,0.05636521724173175,-0.00248363943675625
1.08096,0.0620279290590524,1.0,-0.0023733908691741,csv_127.csv,1.0797388093566278,0.9712630824706034,1,0.0591957956150784,-0.00229665825015995
1.084,0.0640708689031334,1.0,-0.0027014906195409,csv_128.csv,1.0830079155396533,0.9700394391602216,1,0.0609215878832068,-0.0024784040871252
1.08696,0.0663669832579551,1.0,-0.002537032719796,csv_129.csv,1.0861886101668516,0.9689682567617988,1,0.06351793891502125,-0.0025501284046585
1.09,0.0685589134148046,1.0,-0.0029788858310958,csv_130.csv,1.0895464011863238,0.9679005142842888,1,0.06612168506033006,-0.0026764911437856
1.09296,0.0714955766719225,1.0,-0.00189450907678,csv_131.csv,1.0918119038298453,0.9670242893887384,1,0.0684516541246191,-0.00220670635263655
1.096,0.0733607058771737,1.0,-0.0028188620986542,csv_132.csv,1.0951606213325231,0.9660447629288144,1,0.07034194972748165,-0.0024864956086871
1.09896,0.0751699484635331,1.0,-0.0020088409246431,csv_133.csv,1.098552700815599,0.9648943880431888,1,0.07235059803742985,-0.0021978674757419502
1.102,0.0776036210825071,1.0,-0.0022408879964494,csv_134.csv,1.101959929141422,0.9638143836295688,1,0.0744326844984605,-0.00238337105615055
1.10496,0.0805488597596019,1.0,-0.0027515421841804,csv_135.csv,1.1041479484133725,0.9629145836245602,1,0.07732593846366985,-0.00278739206634595
1.108,0.0821721750870126,1.0,-0.0021739388629159,csv_136.csv,1.107433987135504,0.9618704229724204,1,0.0797519391637083,-0.00216128596332805
1.11096,0.0835614362830871,1.0,-0.0029074980548939,csv_137.csv,1.1107511445375775,0.960779373524578,1,0.08100851657693531,-0.00288435114429585
1.114,0.0872441181819225,1.0,-0.001881972046236,csv_138.csv,1.1141156158740595,0.9596660796661144,1,0.0849616397489006,-0.0020614029852325
1.11696,0.0888419043673195,1.0,-0.00239832368038,csv_139.csv,1.1175262730091762,0.958582592511722,1,0.08595473233314019,-0.0024816728356156998
1.12,0.0905577615498377,1.0,-0.0024467872873615,csv_140.csv,1.1199170064489947,0.9577951089042412,1,0.0877911248820342,-0.0023716288320715997
1.12296,0.0920745679892696,1.0,-0.0025413364271388,csv_141.csv,1.1230910338822273,0.9568334169538514,1,0.09000150289608305,-0.0024744008116604
1.126,0.0947417832974625,1.0,-0.0024085929882088,csv_142.csv,1.1263847587408762,0.9557568442249128,1,0.0929019998196925,-0.0023116031497865
1.12896,0.0963605546352398,1.0,-0.0022532550857291,csv_143.csv,1.129644638724554,0.9546765116259406,1,0.0945070580223682,-0.0022598246459428
1.132,0.0977155468872696,1.0,-0.0021681705156832,csv_144.csv,1.1328803526082964,0.9535894514962462,1,0.09689195897785921,-0.00221973320576945
1.13496,0.1009813317114652,1.0,-0.0027342776966475,csv_145.csv,1.1350156893834715,0.9530294677815032,1,0.09966410203453879,-0.0022041106101757498
1.138,0.1029327811716814,1.0,-0.0019333290687695,csv_146.csv,1.1383501773444706,0.951859596619428,1,0.1008653314773001,-0.00205040011600475
1.14096,0.102335486212347,1.0,-0.0020268156465002,csv_147.csv,1.1416850510643708,0.950802148654617,1,0.10201174941660696,-0.0021342152916302
1.144,0.1069126367189598,1.0,-0.0021961973062385,csv_148.csv,1.1450581692343325,0.9496968082033208,1,0.10497679330560865,-0.0022028617074103
1.14696,0.1084901239753138,1.0,-0.0019295556002416,csv_149.csv,1.1474187028327405,0.9489220016643428,1,0.1081432565251578,-0.0020395624981038
1.15,0.1086284491019513,1.0,-0.0023735348778428,csv_150.csv,1.149431173302789,0.9481460279830336,1,0.1086284491019513,-0.0023735348778428
1.0,-0.0097668544278035,1.0,-0.0025103375956088,csv_200.csv,0.9985615517765648,0.9998964629701086,2,-0.00488342721390175,-0.0012551687978044
1.002,-0.0088393387318291,1.0,-0.0023931920611311,csv_201.csv,1.0010171291442262,0.9989694052795448,2,-0.00850013964299915,-0.00261338476417675
