Xlam_clamps,PX_hist,Ylam_clamps,PY_hist,file,Xlam,Ylam,cycle_number,PX,PY
1.07544,0.097187290308132,1.09952,0.1157576114947657,csv_448.csv,1.0344157411649286,1.0525820358461944,2,0.09191470119402595,0.1086379079949461
1.07696,0.0991886190564325,1.10152,0.1179506840395442,csv_449.csv,1.0350054064577072,1.0533608520118558,2,0.09402778425572135,0.11081843130761884
1.07848,0.1007700301134795,1.10352,0.1198168425798014,csv_450.csv,1.03568503064681,1.054747841195922,2,0.09571240336458406,0.1129729532950319
1.08,0.1027197511574899,1.10552,0.1219892823073003,csv_451.csv,1.0363803658545347,1.055966621881124,2,0.09755636057074615,0.1152501883387516
1.08144,0.104629524903556,1.10752,0.1246653675366118,csv_452.csv,1.037067119456754,1.0572326492867818,2,0.09956145652447175,0.1176458423665038
1.08296,0.1063971500271299,1.10952,0.1265835001159261,csv_453.csv,1.0374718054564105,1.058016901338556,2,0.1013895007530281,0.1196550550187243
1.08448,0.1080229425735091,1.11152,0.1283353394876541,csv_454.csv,1.038231710435918,1.0593133921868187,2,0.1030796060377865,0.12155257962755525
1.086,0.1100232909672295,1.11352,0.1309642218274946,csv_455.csv,1.038907804347798,1.0605038194212038,2,0.1049615122771056,0.1238352402139465
1.08744,0.1120458481855221,1.11552,0.1329176261282317,csv_456.csv,1.0398158050243609,1.0616306452527249,2,0.10704625067689436,0.12608300375730905
1.08896,0.1137389570008354,1.11752,0.1346771703597235,csv_457.csv,1.0401035142749726,1.062530323642803,2,0.1088300663317274,0.12765015543346112
1.09048,0.1154690708023299,1.11952,0.1365547995552478,csv_458.csv,1.0408115754084664,1.063803033857503,2,0.1105092225830111,0.1299897688768896
1.092,0.1172724769429918,1.12152,0.1386337265662638,csv_459.csv,1.0413040034675771,1.0650363110391732,2,0.11231039979829135,0.13183135077748687
1.09344,0.1190092190783109,1.12352,0.1408124842609915,csv_460.csv,1.0422528873059265,1.0662083920262742,2,0.11420843353741335,0.13420568282399953
1.09496,0.1208392878622354,1.12552,0.1425262154236211,csv_461.csv,1.0427111668881015,1.0674420131665583,2,0.11602751131489314,0.13610744334101338
1.09648,0.1225328160131359,1.12752,0.1445865002891336,csv_462.csv,1.0432300804331744,1.0680957945590648,2,0.11779247962829084,0.13837525801368422
1.098,0.1241221101441838,1.12952,0.1465727814189517,csv_463.csv,1.0439445291001088,1.0694092216446591,2,0.11955206133096286,0.14007581439787664
1.09944,0.1258160288225714,1.13152,0.1482233081147841,csv_464.csv,1.044714104901196,1.070456385183112,2,0.1212421766466396,0.14214355564996156
1.10096,0.1276485239594498,1.13352,0.1502041216840739,csv_465.csv,1.0453187777707922,1.071710297050073,2,0.12309876870204185,0.1443746919860071
1.10248,0.1293028470355197,1.13552,0.1524401661983231,csv_466.csv,1.0460539370932644,1.0729529089541503,2,0.1248590677907464,0.1465732933194251
1.104,0.1307471315676788,1.13752,0.1542374322900545,csv_467.csv,1.0465973518003038,1.0736959288608237,2,0.12622040587390354,0.14829161869233404
1.10544,0.1324016224589956,1.13952,0.1562362032643705,csv_468.csv,1.0473607275838643,1.0747978585424955,2,0.1280386136318522,0.15011643611647654
1.10696,0.134341176487049,1.14152,0.1583676732600659,csv_469.csv,1.0479844593303291,1.0760157275784898,2,0.1300113136288953,0.15252653507395086
1.10848,0.1358430462042834,1.14352,0.1601330660885827,csv_470.csv,1.0485782044786212,1.0773238892795982,2,0.13165233187012898,0.15430014372153844
1.11,0.1374839587741315,1.14552,0.1619892969219752,csv_471.csv,1.049028334290755,1.078127188963664,2,0.133173212189858,0.1560255788546169
1.11144,0.1391060308009829,1.14752,0.1636785147436224,csv_472.csv,1.049784612162772,1.0792531683916542,2,0.13487187370395487,0.15796370006978222
1.11296,0.1407009896686308,1.14952,0.1657274870698442,csv_473.csv,1.0503779613535484,1.080412683537714,2,0.13660600316589616,0.1601023353074139
1.11448,0.1423715130849795,1.15152,0.167502435279748,csv_474.csv,1.0510076503249488,1.0817010285535753,2,0.13839990430468466,0.16226550426228314
1.116,0.143848355679912,1.15352,0.1692039566890377,csv_475.csv,1.0516617218180633,1.0828213610461452,2,0.14001037637217856,0.1639576059050425
1.11744,0.1452260464555781,1.15552,0.1709321853925983,csv_476.csv,1.0521152312644215,1.083669798623355,2,0.14141455028806996,0.16588149920458284
1.11896,0.1470460916198245,1.15752,0.1729608594862403,csv_477.csv,1.0528214041570694,1.084753336788622,2,0.14319481978779336,0.16778531379662448
1.12048,0.1487697134655411,1.15952,0.1746544768849293,csv_478.csv,1.0534163770055405,1.0860930978656833,2,0.1448933424568517,0.16973227571837546
1.122,0.1500199258058343,1.16152,0.1762382189269575,csv_479.csv,1.0540832631990895,1.0873708687219032,2,0.14654650223608404,0.1714768330023429
1.12344,0.1513987963948474,1.16352,0.1785680040036482,csv_480.csv,1.054812457550475,1.0884133067056412,2,0.14800027522371195,0.1736140116436008
1.12496,0.1530888953738075,1.16552,0.1799397824500732,csv_481.csv,1.055277716999828,1.0892697837093035,2,0.1496470896186604,0.17544324144464984
1.12648,0.1546344808260124,1.16752,0.1816813838123329,csv_482.csv,1.0559308100078275,1.0905236300488694,2,0.15141606088238024,0.1773998601114226
1.128,0.1560922626676481,1.16952,0.1834406309175525,csv_483.csv,1.0565007971234734,1.0917298663366457,2,0.15298925642025346,0.179128092109066
1.12944,0.1574390910322737,1.17152,0.1852591135380429,csv_484.csv,1.0572546449451403,1.0927766965371528,2,0.15436514737177548,0.18121724754010904
1.13096,0.1588631560659598,1.17352,0.1869602820098854,csv_485.csv,1.057680130005846,1.0936665741337546,2,0.15611730998821025,0.1828884602814168
1.13248,0.1604863508204937,1.17552,0.1883840075780049,csv_486.csv,1.0582991515725246,1.094767569940549,2,0.15776888216524365,0.18466156916957915
1.134,0.1620035520024963,1.17752,0.1903866604877734,csv_487.csv,1.0590400089537395,1.096165286507064,2,0.15940131604736674,0.18657193270157246
1.13544,0.1633845385809529,1.17952,0.19171380298231,csv_488.csv,1.059639190894333,1.0971610895998325,2,0.16087505579542105,0.1882895913521144
1.13696,0.1647574377760279,1.18152,0.193408077597584,csv_489.csv,1.0603008932339966,1.098380655541655,2,0.16235587803878038,0.19026630194776445
1.13848,0.1663900958588391,1.18352,0.1950826615032707,csv_490.csv,1.0607027414133814,1.0991498375945714,2,0.1641886420588396,0.19238072497064365
1.14,0.1678018181790971,1.18552,0.196893016962577,csv_491.csv,1.0612953232966125,1.100524555594829,2,0.1658924552623591,0.1940621052280469
1.14144,0.1690390942348014,1.18752,0.1983003823270942,csv_492.csv,1.061915961787009,1.1016307812383128,2,0.1672038623321948,0.1959449562507482
1.14296,0.1704693496752303,1.18952,0.1999650575374801,csv_493.csv,1.0625772591728402,1.102817234797922,2,0.16870063012553854,0.197781726913294
